Index,ward,crime2010,crime2011,crime2012,crime2013,crime2014,crime2015,crime2016,crime2017,crime2018,crime2019,crime2020
0,all,370407,351890,336162,307354,275614,264527,269563,268792,268357,260635,210687
1,1,7268,6662,6262,5363,4655,4553,5259,5366,4837,4809,3411
2,2,13387,12678,12340,11407,10864,10676,11349,11456,10088,5266,3245
3,3,9619,9320,8624,8339,7295,6694,7038,7081,7008,7392,6214
4,4,6421,6045,5396,4916,4612,4603,5047,5176,5562,6961,5443
5,5,9078,8658,8429,7723,6499,6330,6000,6214,6333,5909,5243
6,6,12336,11588,11488,10486,8809,8936,8701,8591,8870,9756,8547
7,7,9733,9881,9166,8233,7812,7582,6894,6870,6951,7538,6473
8,8,9895,9617,9218,8655,7978,7212,7180,7049,7135,8140,7183
9,9,9193,9004,8748,7835,7214,6584,6880,7001,7354,7873,6640
10,10,6444,6564,6160,5472,5045,4669,4539,4416,4101,3730,3354
11,11,5005,4940,4659,4152,3701,3443,3491,3358,3248,3101,2729
12,12,4524,4384,4078,3579,3658,3320,3413,3186,3131,3208,2593
13,13,4626,4652,4263,3823,3496,3389,3620,3210,2941,2266,1872
14,14,5331,5394,4601,4228,3910,3782,3578,3285,3082,2946,2417
15,15,11350,10948,9782,8322,6921,6827,6178,6254,5722,3804,3181
16,16,10971,10527,9617,8646,7575,7105,6838,6464,6815,7948,6608
17,17,12779,12239,11400,10347,9475,9408,8669,8746,8904,8402,7167
18,18,6672,6232,5420,5003,4647,4346,4768,4473,4161,3789,3018
19,19,3373,3000,2945,2565,2382,2404,2373,2271,2241,2017,1936
20,20,12685,11950,10989,9666,8474,8105,7741,7759,7599,8051,6738
21,21,11188,10450,9930,9636,8634,8279,8243,8063,8261,8310,6686
22,22,4393,4251,3954,3573,3308,3090,3158,3057,3339,3332,2683
23,23,4295,4227,4067,3674,3134,3108,3371,3105,3156,2469,2129
24,24,14214,13280,13676,13322,12305,12082,12290,12590,12667,11218,8770
25,25,4861,4779,4811,4303,3876,3677,3778,3882,3864,4814,3794
26,26,6745,6017,5779,4687,4002,3681,4075,3850,3582,3816,3358
27,27,12990,11604,11652,10838,9748,9007,10237,10069,11257,12484,9023
28,28,16900,15639,15683,15630,14554,13201,12579,11302,11956,12982,10634
29,29,8939,8944,8175,7353,6754,6525,6306,5703,5700,5939,5537
30,30,5412,5018,4779,4274,3815,3635,3537,3446,3041,2680,2284
31,31,5511,4981,4771,4321,3847,3607,3534,3566,3133,2903,2560
32,32,6585,6009,5575,4731,4491,4238,4756,4785,4196,3267,2487
33,33,4106,3667,3384,2891,2532,2507,2494,2618,2626,2382,2041
34,34,10731,10267,9611,8712,7472,6894,6738,6887,6957,6697,6305
35,35,5168,4615,4367,3794,3246,3076,3395,3310,3221,2827,2484
36,36,4102,3683,3425,3048,2550,2746,3002,2695,2671,2833,2506
37,37,10375,9568,9055,8297,7418,7136,6762,6434,6829,7812,6387
38,38,4017,3831,3509,3404,2822,2938,2822,2736,2605,1825,1801
39,39,3696,3296,3055,2801,2460,2689,2630,2678,2507,2209,2071
40,40,3787,3409,3383,3101,2743,2534,2703,2831,2952,2740,2588
41,41,3513,3606,3502,3505,3393,3172,3334,2987,2963,2898,2271
42,42,13443,13563,13829,13417,12004,12459,14780,17433,18162,16650,7948
43,43,4679,4442,4246,3910,3511,3222,3648,4016,4328,3072,2107
44,44,5156,5217,5487,4984,4058,4039,4396,4006,4288,4230,2790
45,45,3684,3429,3488,3238,2899,2823,2792,2799,2768,2505,2389
46,46,4626,4459,4831,4060,3624,3481,3416,3493,3298,3246,2712
47,47,3881,3600,3325,3139,2649,2418,2651,2815,2658,2359,2335
48,48,3605,3396,3311,2742,2392,2375,2409,2561,2820,2593,2354
49,49,5143,4761,4568,4050,3551,3354,3474,3892,3663,4007,3284
50,50,3972,3599,3349,3159,2800,2566,2697,2957,2806,2630,2357
